Tumor Duke network  with 295 segments (582 subsegments with min. segment length  50.000000)												
990.000000 810.000000 150.000000 box dimensions in microns												
34 28 6 number of tissue points in x,y,z directions												
100	outer bound distance											
150	max. segment length											
4		maximum number of segments per node										
582	total number of segments											
SegName	Type	StartNode	EndNode	Diam	Flow[nl/min]	Hd						
271	5	325	5131	36.700001	32.275753	0.418888	*					
272	5	5131	5132	36.700001	32.275753	0.418888	*					
273	5	5132	5133	36.700001	32.275753	0.418888	*					
274	5	5133	360	36.700001	32.275753	0.418888	*					
275	5	325	5134	22	-27.396515	0.432383	*					
276	5	5134	5135	22	-27.396515	0.432383	*					
277	5	5135	303	22	-27.396515	0.432383	*					
278	5	303	5136	9	-2.705715	0.415975	*					
279	5	5136	1112	9	-2.705715	0.415975	*					
280	5	303	300	25	-24.6908	0.434181	*					
281	5	300	858	11	-5.583117	0.312589	*					
282	5	300	293	16	-19.107683	0.46971	*					
283	5	293	1567	11.5	-6.5797	0.4	*					
284	5	293	283	16	-12.527984	0.506321	*					
285	5	283	276	6	-13.754483	0.461212	*					
286	5	283	5137	16	1.2265	0.000443	*					
287	5	5137	1772	16	1.2265	0.000443	*					
288	5	1772	1766	8.4	0.5751	0.000422	*					
289	5	1772	1767	8.3	0.6514	0.000461	*					
290	5	276	273	5.4	7.766516	0.291594	*					
291	5	276	5138	6.5	-21.521	0.4	*					
292	5	5138	2716	6.5	-21.521	0.4	*					
293	5	273	270	6.1	4.633923	0.340791	*					
294	5	273	1884	5.5	3.132594	0.21882	*					
295	5	1396	1718	7.8	0.0351	0	*					
296	5	1884	1390	5	-0.768623	0.126859	*					
297	5	1396	5139	5.8	3.866116	0.202524	*					
298	5	5139	2725	5.8	3.866116	0.202524	*					
299	5	2725	1673	9.8	2.375217	0.262865	*					
300	5	2725	1058	10.4	1.490899	0.106393	*					
301	5	1058	1063	5.7	1.158099	0.126918	*					
302	5	1058	1049	5.6	0.3328	0.034967	*					
303	5	1063	5140	7.2	3.410816	0.226147	*					
304	5	5140	1072	7.2	3.410816	0.226147	*					
305	5	1063	1673	6.3	-2.252717	0.277159	*					
306	5	1073	852	8.4	3.153633	0.244589	*					
307	5	1073	1636	8.3	0.191083	0	*					
308	5	1072	1628	8.2	0.0661	0	*					
309	5	1636	5141	12.6	-0.228916	0.390913	*					
310	5	5141	5142	12.6	-0.228916	0.390913	*					
311	5	5142	833	12.6	-0.228916	0.390913	*					
312	5	1636	1729	9.3	0.42	0.213063	*					
313	5	833	5143	6.2	0.125184	0.416617	*					
314	5	5143	5144	6.2	0.125184	0.416617	*					
315	5	5144	852	6.2	0.125184	0.416617	*					
316	5	833	2569	22	-0.3541	0.4	*					
317	5	852	856	8.9	3.278816	0.251157	*					
318	5	856	858	6.8	4.297716	0.286445	*					
319	5	856	5145	6.6	-1.0189	0.4	*					
320	5	5145	1547	6.6	-1.0189	0.4	*					
321	5	1673	1668	5.8	0.1225	0	*					
322	5	2748	5146	7.5	-0.896923	0.098979	*					
323	5	5146	270	7.5	-0.896923	0.098979	*					
324	5	1390	1816	4.8	0.4162	0.054156	*					
325	5	2748	257	7.3	-0.2879	0.108616	*					
326	5	257	5147	14	-3.737	0.398828	*					
327	5	5147	270	14	-3.737	0.398828	*					
328	5	257	5148	14	3.4491	0.423053	*					
329	5	5148	246	14	3.4491	0.423053	*					
330	5	1816	5149	8.1	0.6603	0.182008	*					
331	5	5149	1806	8.1	0.6603	0.182008	*					
332	5	1816	5150	7.5	-0.2441	0.4	*					
333	5	5150	2760	7.5	-0.2441	0.4	*					
334	5	858	5151	6.5	-1.2854	0.4	*					
335	5	5151	2600	6.5	-1.2854	0.4	*					
336	5	1112	5152	8.2	-0.9305	0.4	*					
337	5	5152	1501	8.2	-0.9305	0.4	*					
338	5	1112	1108	8.8	-1.775215	0.424349	*					
339	5	1108	5153	6.9	-1.198615	0.436061	*					
340	5	5153	2623	6.9	-1.198615	0.436061	*					
341	5	1108	1104	5.3	-0.5766	0.4	*					
342	5	1104	2565	5.1	-0.535	0.4	*					
343	5	1104	5154	4.7	-0.0416	0.4	*					
344	5	5154	2593	4.7	-0.0416	0.4	*					
345	5	2623	2461	4.7	0.682285	0.336647	*					
346	5	2623	5155	4.7	-1.8809	0.4	*					
347	5	5155	2645	4.7	-1.8809	0.4	*					
348	5	360	5156	38.599998	37.449188	0.432097	*					
349	5	5156	5157	38.599998	37.449188	0.432097	*					
350	5	5157	5158	38.599998	37.449188	0.432097	*					
351	5	5158	395	38.599998	37.449188	0.432097	*					
352	5	360	5159	18	-5.173437	0.514501	*					
353	5	5159	5160	18	-5.173437	0.514501	*					
354	5	5160	5161	18	-5.173437	0.514501	*					
355	5	5161	5162	18	-5.173437	0.514501	*					
356	5	5162	619	18	-5.173437	0.514501	*					
357	5	395	5163	37.700001	41.941238	0.436714	*					
358	5	5163	5164	37.700001	41.941238	0.436714	*					
359	5	5164	218	37.700001	41.941238	0.436714	*					
360	5	395	5165	14.4	-4.492052	0.475206	*					
361	5	5165	5166	14.4	-4.492052	0.475206	*					
362	5	5166	5167	14.4	-4.492052	0.475206	*					
363	5	5167	5168	14.4	-4.492052	0.475206	*					
364	5	5168	947	14.4	-4.492052	0.475206	*					
365	5	947	5169	9.1	1.021548	0.069296	*					
366	5	5169	965	9.1	1.021548	0.069296	*					
367	5	947	940	5.2	-5.5136	0.4	*					
368	5	965	3586	6.8	0.064481	0	*					
369	5	965	1408	9.4	0.957067	0.073966	*					
370	5	1408	5170	6.6	0.350361	0.064692	*					
371	5	5170	3594	6.6	0.350361	0.064692	*					
372	5	1408	5171	9.1	0.606706	0.079321	*					
373	5	5171	5172	9.1	0.606706	0.079321	*					
374	5	5172	3200	9.1	0.606706	0.079321	*					
375	5	3200	5173	20.6	7.303906	0.373363	*					
